Year,Round,Seed_1,Team_1,Seed_2,Team_2,Winner
2024,Round of 64,1,UConn,16,Stetson,UConn
2024,Round of 64,9,Northwestern,8,Florida Atlantic,Northwestern
2024,Round of 64,5,San Diego State,12,UAB,San Diego State
2024,Round of 64,13,Yale,4,Auburn,Yale
2024,Round of 64,11,Duquesne,6,BYU,Duquesne
2024,Round of 64,3,Illinois,14,Morehead State,Illinois
2024,Round of 64,7,Washington State,10,Drake,Washington State
2024,Round of 64,2,Iowa State,15,South Dakota State,Iowa State
2024,Round of 64,1,North Carolina,16,Wagner,North Carolina
2024,Round of 64,9,Michigan State,8,Mississippi State,Michigan State
2024,Round of 64,12,Grand Canyon,5,Saint Mary's,Grand Canyon
2024,Round of 64,4,Alabama,13,Charleston,Alabama
2024,Round of 64,6,Clemson,11,New Mexico,Clemson
2024,Round of 64,3,Baylor,14,Colgate,Baylor
2024,Round of 64,7,Dayton,10,Nevada,Dayton
2024,Round of 64,2,Arizona,15,Long Beach State,Arizona
2024,Round of 64,1,Houston,16,Longwood,Houston
2024,Round of 64,9,Texas A&M,8,Nebraska,Texas A&M
2024,Round of 64,12,James Madison,5,Wisconsin,James Madison
2024,Round of 64,4,Duke,13,Vermont,Duke
2024,Round of 64,11,NC State,6,Texas Tech,NC State
2024,Round of 64,14,Oakland,3,Kentucky,Oakland
2024,Round of 64,10,Colorado,7,Florida,Colorado
2024,Round of 64,2,Marquette,15,Western Kentucky,Marquette
2024,Round of 64,1,Purdue,16,Grambling State,Purdue
2024,Round of 64,8,Utah State,9,TCU,Utah State
2024,Round of 64,5,Gonzaga,12,McNeese,Gonzaga
2024,Round of 64,4,Kansas,13,Samford,Kansas
2024,Round of 64,11,Oregon,6,South Carolina,Oregon
2024,Round of 64,3,Creighton,14,Akron,Creighton
2024,Round of 64,7,Texas,10,Colorado State,Texas
2024,Round of 64,2,Tennessee,15,Saint Peter's,Tennessee
2024,Round of 32,1,UConn,9,Northwestern,UConn
2024,Round of 32,5,San Diego State,13,Yale,San Diego State
2024,Round of 32,3,Illinois,11,Duquesne,Illinois
2024,Round of 32,2,Iowa State,7,Washington State,Iowa State
2024,Round of 32,1,North Carolina,9,Michigan State,North Carolina
2024,Round of 32,4,Alabama,12,Grand Canyon,Alabama
2024,Round of 32,6,Clemson,3,Baylor,Clemson
2024,Round of 32,2,Arizona,7,Dayton,Arizona
2024,Round of 32,1,Houston,9,Texas A&M,Houston
2024,Round of 32,4,Duke,12,James Madison,Duke
2024,Round of 32,11,NC State,14,Oakland,NC State
2024,Round of 32,2,Marquette,10,Colorado,Marquette
2024,Round of 32,1,Purdue,8,Utah State,Purdue
2024,Round of 32,5,Gonzaga,4,Kansas,Gonzaga
2024,Round of 32,3,Creighton,11,Oregon,Creighton
2024,Round of 32,2,Tennessee,7,Texas,Tennessee
2024,Sweet 16,1,UConn,5,San Diego State,UConn
2024,Sweet 16,3,Illinois,2,Iowa State,Illinois
2024,Sweet 16,4,Alabama,1,North Carolina,Alabama
2024,Sweet 16,6,Clemson,2,Arizona,Clemson
2024,Sweet 16,4,Duke,1,Houston,Duke
2024,Sweet 16,11,NC State,2,Marquette,NC State
2024,Sweet 16,1,Purdue,5,Gonzaga,Purdue
2024,Sweet 16,2,Tennessee,3,Creighton,Tennessee
2024,Elite Eight,1,UConn,3,Illinois,UConn
2024,Elite Eight,4,Alabama,6,Clemson,Alabama
2024,Elite Eight,11,NC State,4,Duke,NC State
2024,Elite Eight,1,Purdue,2,Tennessee,Purdue
2024,Final Four,1,UConn,4,Alabama,UConn
2024,Final Four,1,Purdue,11,NC State,Purdue
2024,Championship,1,UConn,1,Purdue,UConn
