Year,Round,Seed_1,Team_1,Seed_2,Team_2,Winner
2021,Round of 64,1,Illinois,16,Drexel,Illinois
2021,Round of 64,8,Loyola Chicago,9,Georgia Tech,Loyola Chicago
2021,Round of 64,12,Oregon St.,5,Tennessee,Oregon St.
2021,Round of 64,4,Oklahoma St.,13,Liberty,Oklahoma St.
2021,Round of 64,11,Syracuse,6,San Diego St.,Syracuse
2021,Round of 64,3,West Virginia,14,Morehead St.,West Virginia
2021,Round of 64,10,Rutgers,7,Clemson,Rutgers
2021,Round of 64,2,Houston,15,Cleveland St.,Houston
2021,Round of 64,1,Gonzaga,16,Norfolk St.,Gonzaga
2021,Round of 64,8,Oklahoma,9,Missouri,Oklahoma
2021,Round of 64,5,Creighton,12,UCSB,Creighton
2021,Round of 64,13,Ohio,4,Virginia,Ohio
2021,Round of 64,6,USC,11,Drake,USC
2021,Round of 64,3,Kansas,14,Eastern Wash.,Kansas
2021,Round of 64,7,Oregon,10,VCU,Oregon
2021,Round of 64,2,Iowa,15,Grand Canyon,Iowa
2021,Round of 64,1,Michigan,16,Texas Southern,Michigan
2021,Round of 64,8,LSU,9,St. Bonaventure,LSU
2021,Round of 64,5,Colorado,12,Georgetown,Colorado
2021,Round of 64,4,Florida St.,13,UNC Greensboro,Florida St.
2021,Round of 64,11,UCLA,6,BYU,UCLA
2021,Round of 64,14,Abilene Christian,3,Texas,Abilene Christian
2021,Round of 64,10,Maryland,7,UConn,Maryland
2021,Round of 64,2,Alabama,15,Iona,Alabama
2021,Round of 64,1,Baylor,16,Hartford,Baylor
2021,Round of 64,9,Wisconsin,8,North Carolina,Wisconsin
2021,Round of 64,5,Villanova,12,Winthrop,Villanova
2021,Round of 64,13,North Texas,4,Purdue,North Texas
2021,Round of 64,6,Texas Tech,11,Utah St.,Texas Tech
2021,Round of 64,3,Arkansas,14,Colgate,Arkansas
2021,Round of 64,7,Florida,10,Virginia Tech,Florida
2021,Round of 64,15,Oral Roberts,2,Ohio State,Oral Roberts
2021,Round of 32,8,Loyola Chicago,1,Illinois,Loyola Chicago
2021,Round of 32,12,Oregon St.,4,Oklahoma St.,Oregon St.
2021,Round of 32,11,Syracuse,3,West Virginia,Syracuse
2021,Round of 32,2,Houston,10,Rutgers,Houston
2021,Round of 32,1,Gonzaga,8,Oklahoma,Gonzaga
2021,Round of 32,5,Creighton,13,Ohio,Creighton
2021,Round of 32,6,USC,3,Kansas,USC
2021,Round of 32,7,Oregon,2,Iowa,Oregon
2021,Round of 32,1,Michigan,8,LSU,Michigan
2021,Round of 32,4,Florida St.,5,Colorado,Florida St.
2021,Round of 32,11,UCLA,14,Abilene Christian,UCLA
2021,Round of 32,2,Alabama,10,Maryland,Alabama
2021,Round of 32,1,Baylor,9,Wisconsin,Baylor
2021,Round of 32,5,Villanova,13,North Texas,Villanova
2021,Round of 32,3,Arkansas,6,Texas Tech,Arkansas
2021,Round of 32,15,Oral Roberts,7,Florida,Oral Roberts
2021,Sweet 16,12,Oregon St.,8,Loyola Chicago,Oregon St.
2021,Sweet 16,2,Houston,11,Syracuse,Houston
2021,Sweet 16,1,Gonzaga,5,Creighton,Gonzaga
2021,Sweet 16,6,USC,7,Oregon,USC
2021,Sweet 16,1,Michigan,4,Florida St.,Michigan
2021,Sweet 16,11,UCLA,2,Alabama,UCLA
2021,Sweet 16,1,Baylor,5,Villanova,Baylor
2021,Sweet 16,3,Arkansas,15,Oral Roberts,Arkansas
2021,Elite Eight,2,Houston,12,Oregon St.,Houston
2021,Elite Eight,1,Baylor,3,Arkansas,Baylor
2021,Elite Eight,1,Gonzaga,6,USC,Gonzaga
2021,Elite Eight,11,UCLA,1,Michigan,UCLA
2021,Final Four,1,Baylor,2,Houston,Baylor
2021,Final Four,1,Gonzaga,11,UCLA,Gonzaga
2021,Championship,1,Baylor,1,Gonzaga,Baylor
